idHVIngresos,strTengoIngresos,strAnioIngresos,decRemuBrutaPublico,decRemuBrutaPrivado,decRentaIndividualPublico,decRentaIndividualPrivado,decOtroIngresoPublico,decOtroIngresoPrivado,idEstado,strUsuario,idHojaVida
132207,1,2018,0,14180,0,0,0,24000,1,,133081
132178,2,,0,0,0,0,0,0,1,,133444
131884,1,2018,0,0,0,0,0,30000,1,,133223
132189,1,2018,24600,0,0,0,0,0,1,,133475
131793,1,2018,0,4588,0,63180,0,0,1,,133116
131769,1,2018,2250,6000,0,0,0,0,1,,133118
132272,1,2018,0,48000,0,0,0,0,1,,133132
130080,2,,0,0,0,0,0,0,1,,131357
130112,2,,0,0,0,0,0,0,1,,131391
130117,2,,0,0,0,0,0,0,1,,131409
131192,1,2018,0,6000,0,0,0,0,1,,132072
131679,2,,0,0,0,0,0,0,1,,133019
131574,2,,0,0,0,0,0,0,1,,132106
131752,1,2018,46200,45600,0,0,0,0,1,,133087
131836,1,2018,0,22000,0,0,0,0,1,,133178
132303,1,2018,0,0,0,32000,0,0,1,,133371
132265,1,2018,0,0,0,0,0,0,1,,133372
132314,1,2018,21000,0,0,0,0,0,1,,133373
129400,1,2018,0,10305,0,800,0,167940,1,,130633
129671,1,2018,0,0,0,24000,0,0,1,,130883
129626,1,2018,0,14000,0,8000,0,0,1,,130879
129388,1,2018,0,0,0,23000,0,0,1,,130619
129912,1,2018,36000,24000,0,11000,0,0,1,,131204
129534,1,2018,0,11160,0,0,0,0,1,,130785
132282,1,2018,44700,0,0,0,0,0,1,,133602
132302,1,2018,18000,24000,0,21600,0,20000,1,,133614
132306,2,,0,0,0,0,0,0,1,,133621
132310,2,,0,0,0,0,0,0,1,,133624
131208,1,2018,10800,0,0,18000,14040,0,1,,132425
131207,1,2018,10800,0,0,18000,14040,0,1,,132425
131983,1,2018,0,0,0,19200,0,0,1,,133295
131078,1,2018,0,0,0,36000,0,0,1,,132410
131180,1,2018,51000,0,0,0,0,0,1,,132389
130697,1,2018,120000,0,0,40000,0,0,1,,132022
131223,2,,0,0,0,0,0,0,1,,132575
131251,1,2018,51000,0,0,9000,0,0,1,,132590
129420,1,2018,0,0,0,0,0,4500,1,,130598
129375,2,,0,0,0,0,0,0,1,,130600
129373,2,,0,0,0,0,0,0,1,,130602
130061,2,,0,0,0,0,0,0,1,,131356
130078,1,2018,1100,0,0,0,1450,0,1,,131365
131575,1,2017,18000,0,0,0,0,0,1,,132920
130367,1,2018,0,0,11160,38783,0,0,1,,131639
130259,1,2018,0,0,0,193355,0,0,1,,131558
130260,1,2018,0,0,0,27500,0,0,1,,131565
130388,1,2018,0,0,12600,7200,0,0,1,,131566
130646,1,2018,30000,0,0,0,0,0,1,,131977
130669,1,2018,0,10000,0,0,0,0,1,,132003
130572,1,2018,0,18000,0,0,0,0,1,,131897
130662,1,2018,0,10500,0,0,0,0,1,,131989
130706,1,2018,88992,0,0,0,0,0,1,,131999
130829,1,2018,0,0,30000,10000,0,0,1,,132136
130898,1,2018,60000,0,0,0,0,0,1,,132209
130966,1,2018,35681.64,0,0,0,0,0,1,,132251
130988,1,2018,0,56720,0,170141,0,60000,1,,132299
131114,1,2018,75000,0,7000,5000,0,0,1,,132239
131038,1,2018,140000,0,0,0,0,0,1,,132351
131096,1,2018,0,0,0,7800,0,0,1,,132377
129244,1,2018,173900,0,0,0,0,0,1,,130445
129134,1,2018,8742.74,0,27062.55,0,0,0,1,,130342
129151,1,2018,0,49176.37,22000,0,0,0,1,,130350
129191,1,2018,55096,0,0,84380,0,0,1,,130393
130044,1,2018,0,600000,0,0,0,0,1,,131331
130045,1,2018,0,0,0,24000,0,0,1,,131295
130024,1,2018,0,0,0,24000,0,0,1,,131298
130037,1,2018,0,0,0,1500,0,0,1,,131336
130028,1,2018,0,0,0,12000,0,0,1,,131328
130032,1,2018,0,0,0,12000,0,0,1,,131334
129345,2,,0,0,0,0,0,0,1,,130575
129381,2,,0,0,0,0,0,0,1,,130604
129570,1,2018,38400,0,0,0,0,0,1,,130820
130035,1,2018,0,42540,30186,0,0,0,1,,131294
131429,1,2018,72000,0,0,36000,0,0,1,,132753
131432,1,2018,51600,0,0,5056,0,0,1,,132754
131461,1,2018,2300,0,0,0,0,6000,1,,132788
131452,1,2018,0,96000,0,0,0,0,1,,132804
131487,1,2018,0,18000,0,18000,0,0,1,,132820
130732,1,2018,41883,0,82411,0,0,0,1,,132056
130727,1,2018,0,0,76096,19500,0,0,1,,132052
130729,1,2018,0,0,30000,0,0,5800,1,,132051
130724,1,2018,0,0,0,95596,0,0,1,,131813
130305,1,2018,28954,0,0,36192,0,0,1,,131591
130917,1,2018,10800,0,0,0,0,0,1,,132255
130902,2,,0,0,0,0,0,0,1,,132236
131789,1,2018,1110,0,0,0,0,0,1,,133137
129599,2,,0,0,0,0,0,0,1,,130779
129782,1,2018,187200,0,0,0,91406.4,304429.56,1,,130858
129714,1,2018,169472,0,0,0,0,0,1,,130966
129736,1,2018,0,0,0,6000,0,0,1,,130991
131830,1,2018,0,0,0,23600,0,0,1,,133166
129577,1,2018,13975,0,0,0,0,0,1,,130828
130448,1,2018,78000,24000,0,0,0,0,1,,131760
130731,1,2018,27360,0,0,0,0,0,1,,132057
131287,2,,0,0,0,0,0,0,1,,132642
129585,1,2018,0,14400,0,6000,0,0,1,,130833
131130,1,2018,0,0,15000,0,0,0,1,,132469
131133,1,2018,35000,0,0,0,0,0,1,,132473
131137,1,2018,21000,0,0,10000,0,0,1,,132476
131065,1,2018,72000,67200,0,0,0,0,1,,132398
131213,1,2018,13400,24000,0,0,0,0,1,,132348
131228,1,2018,0,37000,0,0,0,0,1,,132360
130546,1,2018,0,70000,0,0,0,0,1,,131850
130408,1,2018,13435.83,28600,0,0,0,0,1,,131723
130159,1,2018,30940,105787,0,0,0,0,1,,131458
130094,2,,0,0,0,0,0,0,1,,131394
129429,1,2018,0,24000,0,0,0,0,1,,130664
129448,1,2018,0,24000,0,0,0,0,1,,130682
129453,1,2018,0,18000,0,0,0,0,1,,130688
129604,1,2018,30000,0,0,0,0,0,1,,130856
129436,1,2018,0,0,0,10000,0,0,1,,130673
129930,1,2018,12480,0,0,0,0,0,1,,131219
129999,1,2018,96000,0,0,0,0,0,1,,131290
129985,1,2018,120000,0,0,0,0,0,1,,131278
130006,1,2018,0,75152,0,0,0,0,1,,131301
130011,1,2018,0,24000,0,6000,0,0,1,,131309
130023,1,2018,11760,0,0,0,0,0,1,,131320
129202,1,2018,0,0,0,14150,0,0,1,,130263
129237,1,2018,0,0,0,0,0,154800,1,,130266
129121,2,,0,0,0,0,0,0,1,,130320
130961,1,2018,0,0,0,0,10000,30000,1,,132228
130931,1,2018,0,0,0,50000,0,80000,1,,132266
129833,1,2018,0,0,0,0,0,10000,1,,131099
131276,1,2018,9696.12,0,0,10000,0,34442.65,1,,132617
131222,1,2018,30620,0,0,0,51700,0,1,,132541
131273,1,2018,0,0,38543,0,0,0,1,,132572
131585,1,2018,0,30000,0,0,0,0,1,,132923
130959,1,2009,7440,0,0,0,0,0,1,,132316
131695,1,2018,26400,0,0,0,0,0,1,,132941
132105,1,2018,0,0,0,12000,0,0,1,,133469
131300,1,2018,19200,0,0,4200,0,0,1,,132644
131248,1,2018,7032,0,0,36000,0,0,1,,132600
131449,1,2018,15000,4800,0,0,0,0,1,,132800
132347,2,,0,0,0,0,0,0,1,,133671
132346,2,,0,0,0,0,0,0,1,,133672
132345,2,,0,0,0,0,0,0,1,,133673
129399,1,2018,0,12000,0,0,0,0,1,,130628
131190,1,2018,0,12460,0,87010,0,0,1,,132536
129384,1,2018,11868.7,0,0,0,0,0,1,,130614
131188,1,2018,58000,0,0,6000,0,0,1,,132533
131202,1,2018,24000,0,0,0,0,0,1,,132543
130461,1,2018,24500,0,0,0,0,0,1,,131688
130575,1,2018,0,14322,0,0,0,0,1,,131791
130384,1,2018,101800,0,0,0,4200,0,1,,131689
130552,1,2018,19844,0,5200,0,0,0,1,,131795
131561,1,2018,0,0,0,35000,0,0,1,,132905
131573,1,2018,28800,0,0,8000,0,0,1,,132919
131616,1,2018,18000,24000,0,12000,0,0,1,,132960
131598,1,2018,0,0,9000,0,0,0,1,,132932
131609,1,2018,0,0,0,36000,0,0,1,,132957
131579,1,2018,0,0,0,12000,0,0,1,,132928
129081,1,2018,0,0,0,80000,42900,0,1,,130264
129088,1,2018,32172,0,0,0,0,0,1,,130292
129094,1,2018,66000,0,0,0,0,0,1,,130297
129404,2,,0,0,0,0,0,0,1,,130635
129424,1,2018,48000,28000,0,0,0,0,1,,130644
129480,1,2018,0,12000,0,0,0,0,1,,130716
129440,1,2018,0,0,8000,25000,0,0,1,,130674
129447,1,2018,0,36000,0,48000,0,0,1,,130681
129478,1,2018,30000,0,0,0,0,0,1,,130714
132317,2,,0,0,0,0,0,0,1,,133634
131893,1,2018,15400,0,0,0,0,0,1,,133220
131934,1,2018,0,0,0,7500,0,0,1,,133272
131921,1,2018,0,0,0,27000,0,0,1,,133267
129415,1,2018,60000,0,0,5000,0,0,1,,130653
129446,1,2018,0,0,0,32000,0,42000,1,,130634
129419,1,2018,23000,0,0,0,0,0,1,,130651
129473,2,,0,0,0,0,0,0,1,,130709
129551,1,2018,0,36000,0,0,0,0,1,,130805
130730,2,,0,0,0,0,0,0,1,,132054
130808,1,2018,0,0,0,30000,0,0,1,,132132
131116,1,2018,0,0,0,0,0,46800,1,,132447
130793,1,2018,133631,0,0,0,0,0,1,,132127
130817,1,2018,11000,0,0,0,0,0,1,,132130
130814,1,2018,0,0,0,24000,0,0,1,,132142
131669,1,2018,0,54000,0,0,0,0,1,,132992
131673,1,2018,0,54000,0,0,0,0,1,,132950
131663,1,2018,54000,0,0,0,0,0,1,,132991
131639,1,2018,0,54000,0,0,0,0,1,,132976
131629,1,2018,116000,0,0,0,0,0,1,,132945
131717,2,,0,0,0,0,0,0,1,,133052
130833,1,2018,1200,2000,0,0,0,0,1,,132137
130869,1,2018,24000,30000,24000,30000,0,0,1,,132202
130892,1,2018,31200,0,0,0,0,0,1,,132220
130934,1,2018,0,7500,0,0,0,0,1,,132272
130617,1,2018,4279,0,0,0,0,0,1,,131880
131055,1,2018,0,0,0,62000,0,105792,1,,130846
131270,1,2018,0,36000,0,0,0,0,1,,132616
129339,1,2018,0,0,0,36000,0,0,1,,130561
129340,2,,0,0,0,0,0,0,1,,130562
129655,1,2018,0,60000,0,0,0,0,1,,130563
129349,1,2018,0,0,0,18000,0,30000,1,,130564
